HourlyStats,Value
#Total Hours,11164.0
BG median [IQR] (mmol/L),5.774999646685238
BG mean (geometric) (mmol/L),6.037819771276471
BG StDev (geometric) (mmol/L),1.400087059572813
% BG < 2.2 mmol/L,0.0177367860943597
% BG < 4.0 mmol/L,1.5785739623980135
% BG < 4.4 mmol/L,3.396594537069883
% BG within 4.4 - 6.1 mmol/L,60.526782547002476
% BG within 4.4 - 7 mmol/L,81.67789996452642
% BG within 4.4 - 8 mmol/L,90.02305782192266
% BG within 4.4 - 9 mmol/L,92.95849592053919
% BG within 6.0 - 9 mmol/L,36.457963816956365
% BG within 8.0 - 10 mmol/L,4.425328130542746
% BG within > 10 mmol/L ,2.1195459382759845
