KeyName,   Value
. . . Whole Cohort Statistics,   . . .
Num Episodes,   3
Total Hours,   687
Num BG measurements,   327
Average time of hours analysed (Days),   9.541666666666666
Median time of hours analysed [IQR] (Days),   [8.270833333333334 11.875 11.979166666666668]
Mean Measures/day (Cohort),   11.423580786026202
Median [IQR] Measures/day (Per-Patient),   [10.914532019704433 12.642857142857142 12.931954887218044]
-----------------------,   -----------------------
. . . Raw BG stats,   . . .
BG median [IQR] (mmol/L),   [4.914756727954035 5.555312621982319 6.374881655963106]
BG mean (geometric) (mmol/L),   5.946928158444605
BG StDev (geometric) (mmol/L),   2.059845516983373
Num episodes < 4.0 mmol/L,   2
Num episodes < 2.22 mmol/L,   0
% BG < 2.2 mmol/L,   0.0
% BG < 4.0 mmol/L,   2.1406727828746175
% BG < 4.4 mmol/L,   7.033639143730887
% BG within 4.4 - 6.5 mmol/L,   71.25382262996942
% BG within 4.4 - 7.0 mmol/L,   78.59327217125383
% BG within 4.4 - 8.0 mmol/L,   86.54434250764525
% BG within 8.0 - 10 mmol/L,   3.3639143730886847
% BG within > 10 mmol/L,   3.058103975535168
-----------------------,   -----------------------
. . . Hourly Resampled BG stats,   . . .
BG median [IQR] (mmol/L),   [5.187571609545332 5.699207711016436 6.290679604783695]
BG mean (geometric) (mmol/L),   5.9005241535811255
BG StDev (geometric) (mmol/L),   1.5044886969066158
% BG < 2.2 mmol/L,   0.0
% BG < 4.0 mmol/L,   1.0189228529839884
% BG < 4.4 mmol/L,   3.4934497816593884
% BG within 4.4 - 6.1 mmol/L,   66.22998544395924
% BG within 4.4 - 7 mmol/L,   86.02620087336244
% BG within 4.4 - 8 mmol/L,   93.15866084425036
% BG within 4.4 - 9 mmol/L,   94.46870451237264
% BG within 6.0 - 9 mmol/L,   32.1688500727802
% BG within 8.0 - 10 mmol/L,   1.8922852983988356
% BG within > 10 mmol/L,   1.455604075691412
-----------------------,   -----------------------
. . . Per-episode statistics (Median [IQR]),   . . .
*** Raw BG Stats ***,   
Hours of control,   [72.5 139.0 219.5]
Num BG measurements,   [85.0 111.0 134.0]
Initial BG (mmol/L),   [6.55 9.0 16.0]
BG median (mmol/L),   [5.4477053282391275 5.655202191718333 6.0753723281126595]
BG mean (mmol/L),   [5.573774232536799 5.694336048256792 6.7151329140830205]
BG StDev (mmol/L),   [0.9369438398391708 1.0224536131918678 2.487591223984497]
%BG > 10.0 mmol/L,   [0.0 0.0 8.47457627118644]
%BG within 4.0-6.1 mmol/L,   [56.77202626355168 71.17117117117117 72.84673208240088]
%BG within 4.0-7.0 mmol/L,   [72.12566123286193 86.62420382165605 89.70849830722443]
%BG within 4.0-8.0 mmol/L,   [82.40850696318688 93.63057324840764 96.36483617375336]
%BG < 4.4 mmol/L,   [6.893015221850373 7.006369426751593 7.1067883169794]
%BG < 4.0 mmol/L,   [0.847457627118644 1.694915254237288 2.758285652596351]
%BG < 2.22 mmol/L,   [0.0 0.0 0.0]
-----------------------,   -----------------------
. . . Intervention Cohort Stats (Hourly Average),   . . .
Median insulin rate [IQR] (U/hr),   [0.0, 2.0, 4.0]
Feed Stats All,   
Median glucose rate [IQR] (g/hour),   [3.6944999999999997, 3.7352, 3.7352]
Median glucose rate [IQR] (% goal),   [84.50162513542793, 97.95961185418307, 99.95941558441557]
Median Enteral glucose [IQR] (g/hour),   [0.3420833333333333, 0.34585185185185185, 0.34585185185185185]
Median Parental glucose [IQR] (g/hour),   [0.0, 0.0, 0.0]
Feed Stats Excluding those not fed,   
Total hours not fed,   79
Median glucose rate [IQR] (g/hour),   [3.6944999999999997, 3.7352, 3.7352]
Median glucose rate [IQR] (% goal),   [97.95961185418307, 97.95961185418307, 99.95941558441557]
Median Enteral glucose [IQR] (g/hour),   [3.6944999999999997, 3.7352, 3.7352]
Median Parental glucose [IQR] (g/hour),   [5.0, 5.0, 5.0]
-----------------------,   -----------------------
. . . Intervention Per-episode Stats (Hourly Average),   . . .
Median insulin rate [IQR] (U/hr),   [2.1207501512401694, 2.807017543859649, 4.425830200501252]
Feed Stats All,   
Median glucose rate [IQR] (g/hour),   [3.1297297662474586, 3.565642690389654, 4.6806592916234]
Median glucose rate [IQR] (% goal),   [75.68715333614679, 78.48965185342827, 86.00122102754885]
Median Enteral glucose [IQR] (g/hour),   [3.103413976773774, 3.565642690389654, 4.6806592916234]
Median Parental glucose [IQR] (g/hour),   [0.0, 0.0, 0.02631578947368421]
Feed Stats Excluding those not fed,   
Total hours not fed,   79
Median glucose rate [IQR] (g/hour),   [3.627177743799147, 3.666795674514182, 4.731235783685664]
Median glucose rate [IQR] (% goal),   [87.32764358360092, 96.16563531377358, 96.6158237862714]
Median Enteral glucose [IQR] (g/hour),   [3.592131014827184, 3.666795674514182, 4.731235783685664]
Median Parental glucose [IQR] (g/hour),   [5.0, 5.0, 5.0]
-----------------------,   -----------------------
